family,slate,competition,season,round,engine,n,mae,team_points,xv,captain_bonus,substitute,label_error,raw_error,roster_errors
native,ncr_2026_r1,ncr,2026,1,empirical_baseline,227,8.265638766519825,529.0,461.0,41.0,27.0,0.0,,
native,ncr_2026_r1,ncr,2026,1,p3_rolling_native,227,8.444864614661178,512.0,441.0,56.0,15.0,0.0,3.552713678800501e-15,
native,ncr_2026_r1,ncr,2026,1,p3_weighted_native,227,8.356040463480351,507.0,451.0,41.0,15.0,0.0,3.552713678800501e-15,
native,ncr_2026_r1,ncr,2026,1,p3_robust_native,227,8.325135850725134,513.0,430.0,56.0,27.0,0.0,3.552713678800501e-15,
native,ncr_2026_r1,ncr,2026,1,p3_tournament_frozen_native,227,8.444864614661178,512.0,441.0,56.0,15.0,0.0,,
native,ncr_2026_r2,ncr,2026,2,p3_tournament_frozen_native,262,8.252928991943342,727.0,440.0,92.0,195.0,0.0,,
native,ncr_2026_r3,ncr,2026,3,p3_tournament_frozen_native,269,8.52902290326122,509.0,425.0,45.0,39.0,0.0,,
native,ncr_2026_r2,ncr,2026,2,empirical_baseline,262,8.39324427480916,493.0,418.0,30.0,45.0,0.0,,
native,ncr_2026_r2,ncr,2026,2,p3_rolling_native,262,8.30795337459331,737.0,450.0,92.0,195.0,0.0,3.552713678800501e-15,
native,ncr_2026_r2,ncr,2026,2,p3_weighted_native,262,8.256123911885705,681.0,450.0,36.0,195.0,0.0,3.552713678800501e-15,
native,ncr_2026_r2,ncr,2026,2,p3_robust_native,262,8.308258510134976,694.0,463.0,36.0,195.0,0.0,3.552713678800501e-15,
native,ncr_2026_r3,ncr,2026,3,empirical_baseline,269,8.54468401486989,556.0,475.0,45.0,36.0,0.0,,
native,ncr_2026_r3,ncr,2026,3,p3_rolling_native,269,8.497683568247359,527.0,443.0,45.0,39.0,0.0,3.552713678800501e-15,
native,ncr_2026_r3,ncr,2026,3,p3_weighted_native,269,8.467686079754406,524.0,440.0,45.0,39.0,0.0,3.552713678800501e-15,
native,ncr_2026_r3,ncr,2026,3,p3_robust_native,269,8.460484786269232,533.0,449.0,45.0,39.0,0.0,3.552713678800501e-15,
native,six_nations_2025_r1,six_nations,2025,1,empirical_baseline,131,6.732238860348454,502.0,450.0,37.0,15.0,0.0,,
native,six_nations_2025_r1,six_nations,2025,1,p3_rolling_native,131,6.855043955448995,494.0,442.0,37.0,15.0,0.0,7.105427357601002e-15,
native,six_nations_2025_r1,six_nations,2025,1,p3_weighted_native,131,6.879271489157065,462.0,416.0,31.0,15.0,0.0,7.105427357601002e-15,
native,six_nations_2025_r1,six_nations,2025,1,p3_robust_native,131,6.844176134216895,552.0,440.0,37.0,75.0,0.0,7.105427357601002e-15,
native,six_nations_2025_r1,six_nations,2025,1,p3_tournament_frozen_native,131,6.855043955448995,494.0,442.0,37.0,15.0,0.0,,
native,six_nations_2025_r2,six_nations,2025,2,p3_tournament_frozen_native,134,6.860655283321689,292.0,258.0,13.0,21.0,0.0,,
native,six_nations_2025_r3,six_nations,2025,3,p3_tournament_frozen_native,136,6.64753347134404,509.0,386.0,90.0,33.0,0.0,,
native,six_nations_2025_r4,six_nations,2025,4,p3_tournament_frozen_native,137,7.764431494938116,532.0,391.0,33.0,108.0,0.0,,
native,six_nations_2025_r5,six_nations,2025,5,p3_tournament_frozen_native,136,7.664774811677071,468.0,366.0,36.0,66.0,0.0,,
native,six_nations_2025_r2,six_nations,2025,2,empirical_baseline,134,6.85611836650621,382.0,318.0,34.0,30.0,0.0,,
native,six_nations_2025_r2,six_nations,2025,2,p3_rolling_native,134,7.110317252636791,387.0,332.0,34.0,21.0,0.0,7.105427357601002e-15,
