family,competition,season,engine,mae,team_points,rounds
native,ncr,2026,empirical_baseline,8.401189018732959,1578.0,3
native,ncr,2026,p3_robust_native,8.364626382376448,1740.0,3
native,ncr,2026,p3_rolling_native,8.416833852500616,1776.0,3
native,ncr,2026,p3_tournament_frozen_native,8.408938836621914,1748.0,3
native,ncr,2026,p3_weighted_native,8.35995015170682,1712.0,3
native,six_nations,2025,empirical_baseline,7.139481450020274,2410.0,5
native,six_nations,2025,p3_robust_native,7.2318968504966845,2416.0,5
native,six_nations,2025,p3_rolling_native,7.271266764565833,2347.0,5
native,six_nations,2025,p3_tournament_frozen_native,7.158487803345983,2295.0,5
native,six_nations,2025,p3_weighted_native,7.322023290289446,2260.0,5
native,six_nations,2026,empirical_baseline,7.389271159804082,2548.0,5
native,six_nations,2026,p3_robust_native,7.254336422529455,2550.0,5
native,six_nations,2026,p3_rolling_native,7.333753816299828,2462.0,5
native,six_nations,2026,p3_tournament_frozen_native,7.299763911879663,2409.0,5
native,six_nations,2026,p3_weighted_native,7.339431117698186,2531.0,5
rolling,ncr,2026,empirical_baseline,8.401189018732959,1578.0,3
rolling,ncr,2026,p3_robust,8.368759801521737,1665.0,3
rolling,ncr,2026,p3_rolling,8.436285741393414,1507.0,3
rolling,ncr,2026,p3_tournament_frozen,8.43556895959401,1519.0,3
rolling,ncr,2026,p3_weighted,8.356976583736918,1664.0,3
rolling,six_nations,2025,empirical_baseline,7.139481450020274,2410.0,5
rolling,six_nations,2025,p3_robust,7.243191794368355,2267.0,5
rolling,six_nations,2025,p3_rolling,7.287563537305163,2230.0,5
rolling,six_nations,2025,p3_tournament_frozen,7.184177997836774,2283.0,5
rolling,six_nations,2025,p3_weighted,7.324201025858812,2211.0,5
rolling,six_nations,2026,empirical_baseline,7.389271159804082,2548.0,5
rolling,six_nations,2026,p3_robust,7.326482203194179,2505.0,5
rolling,six_nations,2026,p3_rolling,7.421377317352631,2445.0,5
rolling,six_nations,2026,p3_tournament_frozen,7.406650842326913,2410.0,5
rolling,six_nations,2026,p3_weighted,7.409380088428475,2509.0,5
