target,pr4_weight_v4,pr6_weight_v4,difference_pr4_minus_pr6
bad_passes,0.555,0.55,0.005
clean_breaks,0.235,0.2,0.035
conversion_goals,0.205,0.2,0.005
defenders_beaten,0.27,0.25,0.02
drop_goal_missed,0.655,0.65,0.005
drop_goals_converted,0.84,0.75,0.09
metres,0.09,0.1,-0.01
minutes,0.4,0.5,-0.1
missed_conversion_goals,0.2,0.25,-0.05
missed_penalty_goals,0.625,0.5,0.125
missed_tackles,0.42,0.4,0.02
offload,0.25,0.25,0.0
passes,0.64,0.65,-0.01
penalties_conceded,0.365,0.35,0.015
penalty_goals,0.62,0.5,0.12
red_cards,0.91,0.9,0.01
rucks_lost,0.66,0.65,0.01
rucks_won,0.585,0.6,-0.015
runs,0.635,0.6,0.035
tackles,0.62,0.65,-0.03
tries,0.16,0.1,0.06
try_assists,0.19,0.2,-0.01
turnovers_conceded,0.395,0.3,0.095
yellow_cards,0.595,0.5,0.095
