engine,rubric,tournament,mae,spearman,mean_capture,slates,mae_raw,mae_calibrated,slates_cal
C10_calibrated_E4_wide_phase2,ncr,autumn_internationals,6.020928419401656,0.5322420715843139,0.7159868598468109,9,6.020928419401656,6.008100262446159,9
C10_calibrated_E4_wide_phase2,ncr,british_irish_lions,5.9036688183102095,0.49522497342439065,0.7386361593216699,7,5.903668818310209,5.894283531198101,7
C10_calibrated_E4_wide_phase2,ncr,nations_championship,6.312836515407669,0.5659927826343814,0.709556335036064,2,6.312836515407669,6.307207598906165,2
C10_calibrated_E4_wide_phase2,ncr,pacific_nations_cup,7.320154059263515,0.5725590201930979,0.7558711914211301,8,7.320154059263515,7.313269619244682,8
C10_calibrated_E4_wide_phase2,ncr,rugby_championship,5.71400992385379,0.5472718016424573,0.7486486071503435,21,5.71400992385379,5.710258560594793,21
C10_calibrated_E4_wide_phase2,ncr,rugby_world_cup,6.222632176541247,0.5564908283638241,0.7504147527737316,9,6.222632176541247,6.203912854367087,9
C10_calibrated_E4_wide_phase2,ncr,six_nations,5.76926102975803,0.5865724460756712,0.7647510876437296,25,5.76926102975803,5.762995175209718,25
C10_calibrated_E4_wide_phase2,ncr,summer_internationals,6.370375749940441,0.47347167713842614,0.6357052980687253,17,6.370375749940441,6.364152519765061,17
C10_calibrated_E4_wide_phase2,six_nations,autumn_internationals,6.205581117212931,0.6249082347995741,0.7534008369302658,9,6.205581117212931,6.326897679067323,9
C10_calibrated_E4_wide_phase2,six_nations,british_irish_lions,5.847827730916713,0.588921645056928,0.790673645345578,7,5.847827730916713,5.956461285148362,7
C10_calibrated_E4_wide_phase2,six_nations,nations_championship,6.4389553323696695,0.6284889170730366,0.7305884853223189,2,6.4389553323696695,6.404499000925194,2
C10_calibrated_E4_wide_phase2,six_nations,pacific_nations_cup,7.711624755966234,0.6256523875810782,0.7759532568497995,8,7.711624755966234,7.687013429230539,8
C10_calibrated_E4_wide_phase2,six_nations,rugby_championship,5.6750756055306795,0.6340933389476806,0.7967055352646727,21,5.6750756055306795,5.809651710670771,21
C10_calibrated_E4_wide_phase2,six_nations,rugby_world_cup,6.265926194245463,0.6349148387341199,0.7967998206715146,9,6.265926194245463,6.315437756007602,9
C10_calibrated_E4_wide_phase2,six_nations,six_nations,5.637987344688916,0.6782313805002532,0.8078362690373581,25,5.637987344688916,5.729129620461886,25
C10_calibrated_E4_wide_phase2,six_nations,summer_internationals,6.42703734513454,0.5761715601679861,0.6865191778917797,17,6.427037345134539,6.5906082782872195,17
C5_phase1,ncr,autumn_internationals,5.9992984562627365,0.5213484226009463,0.7025475940286886,9,5.9992984562627365,6.00118251834851,9
C5_phase1,ncr,british_irish_lions,5.850429725670898,0.49845209906687316,0.7358069063529398,7,5.850429725670898,5.841751397607878,7
C5_phase1,ncr,nations_championship,6.27825808382389,0.562421298509072,0.6960288680179748,2,6.278258083823889,6.292424785755534,2
C5_phase1,ncr,pacific_nations_cup,7.293312866029996,0.5741189451493834,0.7651588063126785,8,7.2933128660299955,7.353549892049226,8
C5_phase1,ncr,rugby_championship,5.753483214556729,0.545730878196595,0.7451168665640409,21,5.753483214556729,5.743371919384183,21
C5_phase1,ncr,rugby_world_cup,6.2025655315656225,0.5583002215769615,0.7595959678082891,9,6.2025655315656225,6.198124000982766,9
C5_phase1,ncr,six_nations,5.785719741738899,0.584164283211812,0.7678049880579394,25,5.785719741738899,5.783383200808256,25
C5_phase1,ncr,summer_internationals,6.318594259654357,0.47083670404077416,0.6271606256543587,17,6.318594259654357,6.314047029632002,17
C5_phase1,six_nations,autumn_internationals,6.27774089777445,0.6277055447769081,0.74878587740139,9,6.27774089777445,6.300434883042765,9
C5_phase1,six_nations,british_irish_lions,5.889080977144167,0.5912247700890083,0.796010859737512,7,5.889080977144167,5.884431575264811,7
C5_phase1,six_nations,nations_championship,6.374556920738243,0.6242960499273325,0.7231907714294976,2,6.374556920738243,6.395655257817243,2
C5_phase1,six_nations,pacific_nations_cup,7.666429670621504,0.6247811725679226,0.7819762925676543,8,7.666429670621505,7.7366112604314505,8
C5_phase1,six_nations,rugby_championship,5.82610228366237,0.6342120313053775,0.7975522501357727,21,5.82610228366237,5.8310142148117645,21
C5_phase1,six_nations,rugby_world_cup,6.274755024584508,0.6401507462727491,0.7987616745867646,9,6.274755024584508,6.276601242401889,9
C5_phase1,six_nations,six_nations,5.74622195759038,0.6735735757105966,0.8065131702855056,25,5.74622195759038,5.766545382373048,25
C5_phase1,six_nations,summer_internationals,6.533590744041394,0.5714942620228731,0.672335732542007,17,6.533590744041394,6.546680514526879,17
C9_calibrated_E4_phase2,ncr,autumn_internationals,6.020924839801713,0.5322443445938266,0.7159868598468109,9,6.020924839801713,6.008073970536312,9
C9_calibrated_E4_phase2,ncr,british_irish_lions,5.903691802644498,0.49522497342439065,0.7386361593216699,7,5.9036918026444996,5.894285972832359,7
C9_calibrated_E4_phase2,ncr,nations_championship,6.312836515407669,0.5659927826343814,0.709556335036064,2,6.312836515407669,6.307205513049292,2
C9_calibrated_E4_phase2,ncr,pacific_nations_cup,7.320154059263515,0.5725590201930979,0.7558711914211301,8,7.320154059263515,7.313277811046655,8
C9_calibrated_E4_phase2,ncr,rugby_championship,5.7140173212532215,0.5472718016424573,0.7486486071503435,21,5.7140173212532215,5.710237266959699,21
C9_calibrated_E4_phase2,ncr,rugby_world_cup,6.222645744076244,0.5564908283638241,0.7504147527737316,9,6.222645744076244,6.203913509421286,9
C9_calibrated_E4_phase2,ncr,six_nations,5.7692574218274935,0.5865620217985658,0.7647510876437296,25,5.7692574218274935,5.7629738670646455,25
