rubric,tournament,winner,best,runner_up,runner_up_value
ncr,autumn_internationals,E4_three_empirical_plus_naive_phase2,5.970339364147262,C5_phase1,5.9992984562627365
ncr,british_irish_lions,C5_phase1,5.850429725670898,empirical_only,5.851186337507429
ncr,nations_championship,C5_phase1,6.27825808382389,empirical_only,6.292544247930735
ncr,pacific_nations_cup,empirical_empirical_t3_eb_off_ebk_head_only,7.286826717090491,C5_phase1,7.293312866029996
ncr,rugby_championship,empirical_empirical_t3_eb_off_ebk_head_only,5.625137928430483,E4_three_empirical_plus_naive_phase2,5.654035750470042
ncr,rugby_world_cup,empirical_only,6.162953985125362,E4_three_empirical_plus_naive_phase2,6.18930606334164
ncr,six_nations,E4_three_empirical_plus_naive_phase2,5.720733987142756,empirical_empirical_t3_eb_off_ebk_head_only,5.73042020623196
ncr,summer_internationals,E4_three_empirical_plus_naive_phase2,6.299543726761314,C5_phase1,6.318594259654357
six_nations,autumn_internationals,C9_calibrated_E4_phase2,6.193852980119065,C10_calibrated_E4_wide_phase2,6.205581117212931
six_nations,british_irish_lions,C10_calibrated_E4_wide_phase2,5.847827730916713,E4_three_empirical_plus_naive_phase2,5.8676820505680425
six_nations,nations_championship,C5_phase1,6.374556920738243,C9_calibrated_E4_phase2,6.405235695009623
six_nations,pacific_nations_cup,empirical_empirical_t3_eb_off_ebk_head_only,7.642008362076025,C5_phase1,7.666429670621504
six_nations,rugby_championship,C10_calibrated_E4_wide_phase2,5.6750756055306795,C9_calibrated_E4_phase2,5.691385679009942
six_nations,rugby_world_cup,E4_three_empirical_plus_naive_phase2,6.264257640074111,C10_calibrated_E4_wide_phase2,6.265926194245463
six_nations,six_nations,C10_calibrated_E4_wide_phase2,5.637987344688916,E4_three_empirical_plus_naive_phase2,5.639260659748454
six_nations,summer_internationals,C10_calibrated_E4_wide_phase2,6.42703734513454,C9_calibrated_E4_phase2,6.446731322393647
