fixture_id,player_id,team,date,competition_id,competition,team_id,opponent,opponent_id,team_score,opp_score,player_name,jersey,started,minutes,yellow_cards,red_cards,available__minutes,available__yellow_cards,available__red_cards,tries,available__tries,try_assists,available__try_assists,conversion_goals,available__conversion_goals,penalty_goals,available__penalty_goals,drop_goals_converted,available__drop_goals_converted,metres,available__metres,defenders_beaten,available__defenders_beaten,clean_breaks,available__clean_breaks,offload,available__offload,runs,available__runs,tackles,available__tackles,missed_tackles,available__missed_tackles,dominant_tackles,available__dominant_tackles,tackle_success,available__tackle_success,tackle_turnover,available__tackle_turnover,tackle_try_saver,available__tackle_try_saver,rucks_won,available__rucks_won,rucks_lost,available__rucks_lost,passes,available__passes,bad_passes,available__bad_passes,lineouts_won,available__lineouts_won,turnovers_conceded,available__turnovers_conceded,penalties_conceded,available__penalties_conceded,missed_conversion_goals,available__missed_conversion_goals,missed_penalty_goals,available__missed_penalty_goals,drop_goal_missed,available__drop_goal_missed,points,available__points,source,source_priority,competition_level,season,round,position,is_forward,fifty_22,available__fifty_22,lineout_steals,available__lineout_steals,scrums_won,available__scrums_won,kicks_retained,available__kicks_retained,potm,available__potm,home_away,result,margin,fantasy_pts_recon,source_count,match_at,competition_id_cache,competition_cache,calendar_year,source_season,source_game_week,source_round,provenance__minutes,provenance__yellow_cards,provenance__red_cards,provenance__tries,provenance__try_assists,provenance__conversion_goals,provenance__missed_conversion_goals,provenance__penalty_goals,provenance__missed_penalty_goals,provenance__drop_goals_converted,provenance__drop_goal_missed,provenance__defenders_beaten,provenance__clean_breaks,provenance__offload,provenance__runs,provenance__tackles,provenance__missed_tackles,provenance__rucks_won,provenance__rucks_lost,provenance__passes,provenance__bad_passes,provenance__turnovers_conceded,provenance__penalties_conceded,provenance__metres,provenance__dominant_tackles,provenance__tackle_turnover,provenance__tackle_try_saver,provenance__lineouts_won,hemisphere,provenance__fifty_22,provenance__lineout_steals,provenance__scrums_won,provenance__kicks_retained,provenance__potm,benchmark_row_id,canonical_pos,predicted,official_pts,multiplier
8476117,130290,Scotland,2025-02-01,1266,Six Nations,2117,Italy,2873,,,Pierre Schoeman,1,True,,,,False,False,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,raw_benchmark_candidate,999,international,2025,1.0,Prop,True,,False,,False,,False,,False,,False,home,W,12.0,5.0,3,2025-02-01 14:15:00+00:00,1266,Six Nations,2025,2025,1,1,event_log,event_log,event_log,match_stats_key,match_stats_key,match_stats_key,match_stats_key,match_stats_key,match_stats_key,match_stats_key,match_stats_key,match_stats_key,match_stats_key,match_stats_key,match_stats_key,match_stats_key,match_stats_key,match_stats_key,match_stats_key,match_stats_key,match_stats_key,match_stats_key,match_stats_key,match_stats_key,match_stats_key,match_stats_key,match_stats_key,match_stats_key,north,official_fixture_player,official_fixture_player,official_fixture_player,unobserved,official_fixture_player,109401,Prop,16.233375384436506,10.0,1
8476126,136680,England,2025-02-01,1266,Six Nations,1667,Ireland,1817,,,Ellis Genge,1,True,,,,False,False,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,raw_benchmark_candidate,999,international,2025,1.0,Prop,True,,False,,False,,False,,False,,False,away,L,-5.0,9.0,3,2025-02-01 16:45:00+00:00,1266,Six Nations,2025,2025,1,1,event_log,event_log,event_log,match_stats_key,match_stats_key,match_stats_key,match_stats_key,match_stats_key,match_stats_key,match_stats_key,match_stats_key,match_stats_key,match_stats_key,match_stats_key,match_stats_key,match_stats_key,match_stats_key,match_stats_key,match_stats_key,match_stats_key,match_stats_key,match_stats_key,match_stats_key,match_stats_key,match_stats_key,match_stats_key,match_stats_key,match_stats_key,north,official_fixture_player,official_fixture_player,official_fixture_player,unobserved,official_fixture_player,109421,Prop,14.604259930948098,14.0,1
8476108,147480,France,2025-01-31,1266,Six Nations,1967,Wales,1517,,,Peato Mauvaka,2,True,,,,False,False,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,raw_benchmark_candidate,999,international,2025,1.0,Hooker,True,,False,,False,,False,,False,,False,home,W,43.0,12.0,3,2025-01-31 20:15:00+00:00,1266,Six Nations,2025,2025,1,1,event_log,event_log,event_log,match_stats_key,match_stats_key,match_stats_key,match_stats_key,match_stats_key,match_stats_key,match_stats_key,match_stats_key,match_stats_key,match_stats_key,match_stats_key,match_stats_key,match_stats_key,match_stats_key,match_stats_key,match_stats_key,match_stats_key,match_stats_key,match_stats_key,match_stats_key,match_stats_key,match_stats_key,match_stats_key,match_stats_key,match_stats_key,north,official_fixture_player,official_fixture_player,official_fixture_player,unobserved,official_fixture_player,109333,Hooker,23.76134445868266,15.0,1
8476126,122652,England,2025-02-01,1266,Six Nations,1667,Ireland,1817,,,Maro Itoje,4,True,,,,False,False,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,raw_benchmark_candidate,999,international,2025,1.0,Second-row,True,,False,,False,,False,,False,,False,away,L,-5.0,13.0,3,2025-02-01 16:45:00+00:00,1266,Six Nations,2025,2025,1,1,event_log,event_log,event_log,match_stats_key,match_stats_key,match_stats_key,match_stats_key,match_stats_key,match_stats_key,match_stats_key,match_stats_key,match_stats_key,match_stats_key,match_stats_key,match_stats_key,match_stats_key,match_stats_key,match_stats_key,match_stats_key,match_stats_key,match_stats_key,match_stats_key,match_stats_key,match_stats_key,match_stats_key,match_stats_key,match_stats_key,match_stats_key,north,official_fixture_player,official_fixture_player,official_fixture_player,unobserved,official_fixture_player,109420,Second-row,21.085675785898456,16.0,1
8476108,232104,Wales,2025-01-31,1266,Six Nations,1517,France,1967,,,Dafydd Jenkins,5,True,,,,False,False,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,raw_benchmark_candidate,999,international,2025,1.0,Second-row,True,,False,,False,,False,,False,,False,away,L,-43.0,29.0,3,2025-01-31 20:15:00+00:00,1266,Six Nations,2025,2025,1,1,event_log,event_log,event_log,match_stats_key,match_stats_key,match_stats_key,match_stats_key,match_stats_key,match_stats_key,match_stats_key,match_stats_key,match_stats_key,match_stats_key,match_stats_key,match_stats_key,match_stats_key,match_stats_key,match_stats_key,match_stats_key,match_stats_key,match_stats_key,match_stats_key,match_stats_key,match_stats_key,match_stats_key,match_stats_key,match_stats_key,match_stats_key,north,official_fixture_player,official_fixture_player,official_fixture_player,unobserved,official_fixture_player,109369,Second-row,20.289038494031654,35.0,1
8476108,203070,Wales,2025-01-31,1266,Six Nations,1517,France,1967,,,Jac Morgan,7,True,,,,False,False,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,raw_benchmark_candidate,999,international,2025,1.0,Back-row,True,,False,,False,,False,,False,,False,away,L,-43.0,37.0,3,2025-01-31 20:15:00+00:00,1266,Six Nations,2025,2025,1,1,event_log,event_log,event_log,match_stats_key,match_stats_key,match_stats_key,match_stats_key,match_stats_key,match_stats_key,match_stats_key,match_stats_key,match_stats_key,match_stats_key,match_stats_key,match_stats_key,match_stats_key,match_stats_key,match_stats_key,match_stats_key,match_stats_key,match_stats_key,match_stats_key,match_stats_key,match_stats_key,match_stats_key,match_stats_key,match_stats_key,match_stats_key,north,official_fixture_player,official_fixture_player,official_fixture_player,unobserved,official_fixture_player,109367,Back-row,32.48404350165592,49.0,1
8476126,148680,Ireland,2025-02-01,1266,Six Nations,1817,England,1667,,,Caelan Doris,8,True,,,,False,False,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,raw_benchmark_candidate,999,international,2025,1.0,Back-row,True,,False,,False,,False,,False,,False,home,W,5.0,23.0,3,2025-02-01 16:45:00+00:00,1266,Six Nations,2025,2025,1,1,event_log,event_log,event_log,match_stats_key,match_stats_key,match_stats_key,match_stats_key,match_stats_key,match_stats_key,match_stats_key,match_stats_key,match_stats_key,match_stats_key,match_stats_key,match_stats_key,match_stats_key,match_stats_key,match_stats_key,match_stats_key,match_stats_key,match_stats_key,match_stats_key,match_stats_key,match_stats_key,match_stats_key,match_stats_key,match_stats_key,match_stats_key,north,official_fixture_player,official_fixture_player,official_fixture_player,unobserved,official_fixture_player,109455,Back-row,28.969966650782425,25.0,1
8476126,142404,England,2025-02-01,1266,Six Nations,1667,Ireland,1817,,,Ben Earl,8,True,,,,False,False,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,raw_benchmark_candidate,999,international,2025,1.0,Back-row,True,,False,,False,,False,,False,,False,away,L,-5.0,16.0,3,2025-02-01 16:45:00+00:00,1266,Six Nations,2025,2025,1,1,event_log,event_log,event_log,match_stats_key,match_stats_key,match_stats_key,match_stats_key,match_stats_key,match_stats_key,match_stats_key,match_stats_key,match_stats_key,match_stats_key,match_stats_key,match_stats_key,match_stats_key,match_stats_key,match_stats_key,match_stats_key,match_stats_key,match_stats_key,match_stats_key,match_stats_key,match_stats_key,match_stats_key,match_stats_key,match_stats_key,match_stats_key,north,official_fixture_player,official_fixture_player,official_fixture_player,unobserved,official_fixture_player,109423,Back-row,28.00755476734231,26.0,1
8476108,135318,France,2025-01-31,1266,Six Nations,1967,Wales,1517,,,Antoine Dupont,9,True,,,,False,False,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,raw_benchmark_candidate,999,international,2025,1.0,Scrum-half,False,,False,,False,,False,,False,,False,home,W,43.0,30.0,3,2025-01-31 20:15:00+00:00,1266,Six Nations,2025,2025,1,1,event_log,event_log,event_log,match_stats_key,match_stats_key,match_stats_key,match_stats_key,match_stats_key,match_stats_key,match_stats_key,match_stats_key,match_stats_key,match_stats_key,match_stats_key,match_stats_key,match_stats_key,match_stats_key,match_stats_key,match_stats_key,match_stats_key,match_stats_key,match_stats_key,match_stats_key,match_stats_key,match_stats_key,match_stats_key,match_stats_key,match_stats_key,north,official_fixture_player,official_fixture_player,official_fixture_player,unobserved,official_fixture_player,109331,Scrum-half,38.54712553254758,31.0,1
8476117,117894,Scotland,2025-02-01,1266,Six Nations,2117,Italy,2873,,,Finn Russell,10,True,,,,False,False,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,raw_benchmark_candidate,999,international,2025,1.0,Fly-half,False,,False,,False,,False,,False,,False,home,W,12.0,16.0,3,2025-02-01 14:15:00+00:00,1266,Six Nations,2025,2025,1,1,event_log,event_log,event_log,match_stats_key,match_stats_key,match_stats_key,match_stats_key,match_stats_key,match_stats_key,match_stats_key,match_stats_key,match_stats_key,match_stats_key,match_stats_key,match_stats_key,match_stats_key,match_stats_key,match_stats_key,match_stats_key,match_stats_key,match_stats_key,match_stats_key,match_stats_key,match_stats_key,match_stats_key,match_stats_key,match_stats_key,match_stats_key,north,official_fixture_player,official_fixture_player,official_fixture_player,unobserved,official_fixture_player,109398,Fly-half,31.590454485241708,19.0,1
