round,competition,season,model,n,mae,team_points,team_basis
6n-2025-r1,six_nations,2025,empirical_baseline,131,6.7322388603484535,494.0,positional diagnostic; prices and complete eligible pool unavailable
6n-2025-r1,six_nations,2025,p3_rolling,131,6.994739764211542,470.0,positional diagnostic; prices and complete eligible pool unavailable
6n-2025-r1,six_nations,2025,p3_weighted,131,6.986186943856225,470.0,positional diagnostic; prices and complete eligible pool unavailable
6n-2025-r1,six_nations,2025,p3_shrunk,131,6.947179513827483,530.0,positional diagnostic; prices and complete eligible pool unavailable
6n-2025-r2,six_nations,2025,empirical_baseline,134,6.856118366506209,391.0,positional diagnostic; prices and complete eligible pool unavailable
6n-2025-r2,six_nations,2025,p3_rolling,134,7.146625672097381,371.0,positional diagnostic; prices and complete eligible pool unavailable
6n-2025-r2,six_nations,2025,p3_weighted,134,7.081064713116685,363.0,positional diagnostic; prices and complete eligible pool unavailable
6n-2025-r2,six_nations,2025,p3_shrunk,134,6.819163472745548,386.0,positional diagnostic; prices and complete eligible pool unavailable
6n-2025-r3,six_nations,2025,empirical_baseline,136,7.012895261685086,451.0,positional diagnostic; prices and complete eligible pool unavailable
6n-2025-r3,six_nations,2025,p3_rolling,136,7.28209341373792,439.0,positional diagnostic; prices and complete eligible pool unavailable
6n-2025-r3,six_nations,2025,p3_weighted,136,7.293283019265956,439.0,positional diagnostic; prices and complete eligible pool unavailable
6n-2025-r3,six_nations,2025,p3_shrunk,136,7.199907580078335,439.0,positional diagnostic; prices and complete eligible pool unavailable
6n-2025-r4,six_nations,2025,empirical_baseline,137,7.608471871680321,599.0,positional diagnostic; prices and complete eligible pool unavailable
6n-2025-r4,six_nations,2025,p3_rolling,137,7.635895983148322,455.0,positional diagnostic; prices and complete eligible pool unavailable
6n-2025-r4,six_nations,2025,p3_weighted,137,7.753602822235847,552.0,positional diagnostic; prices and complete eligible pool unavailable
6n-2025-r4,six_nations,2025,p3_shrunk,137,7.7096697526884395,540.0,positional diagnostic; prices and complete eligible pool unavailable
6n-2025-r5,six_nations,2025,empirical_baseline,136,7.487777621915439,521.0,positional diagnostic; prices and complete eligible pool unavailable
6n-2025-r5,six_nations,2025,p3_rolling,136,7.3395831329459025,513.0,positional diagnostic; prices and complete eligible pool unavailable
6n-2025-r5,six_nations,2025,p3_weighted,136,7.436249260735635,587.0,positional diagnostic; prices and complete eligible pool unavailable
6n-2025-r5,six_nations,2025,p3_shrunk,136,7.450324040131883,541.0,positional diagnostic; prices and complete eligible pool unavailable
6n-2026-r1,six_nations,2026,empirical_baseline,131,8.087927286391025,507.0,positional diagnostic; prices and complete eligible pool unavailable
6n-2026-r1,six_nations,2026,p3_rolling,131,8.007868673068684,514.0,positional diagnostic; prices and complete eligible pool unavailable
6n-2026-r1,six_nations,2026,p3_weighted,131,7.982280191999545,543.0,positional diagnostic; prices and complete eligible pool unavailable
6n-2026-r1,six_nations,2026,p3_shrunk,131,7.790595563782937,520.0,positional diagnostic; prices and complete eligible pool unavailable
