competition,group_id,n,observable_events,observable_official_spearman
ncr,ncr-2026-gw1,263,tries|try_assists|conversion_goals|missed_conversion_goals|penalty_goals|missed_penalty_goals|drop_goals_converted|defenders_beaten|clean_breaks|offload|tackles|missed_tackles|tackle_turnover|lineouts_won|turnovers_conceded|penalties_conceded|yellow_cards|red_cards|metres,0.8586886494767062
ncr,ncr-2026-gw2,242,tries|try_assists|conversion_goals|missed_conversion_goals|penalty_goals|missed_penalty_goals|drop_goals_converted|defenders_beaten|clean_breaks|offload|tackles|missed_tackles|tackle_turnover|lineouts_won|turnovers_conceded|penalties_conceded|yellow_cards|red_cards|metres,0.9189957598919276
six_nations,6n-2025-r1,131,tries|try_assists|conversion_goals|missed_conversion_goals|penalty_goals|missed_penalty_goals|drop_goals_converted|defenders_beaten|clean_breaks|offload|tackles|missed_tackles|tackle_turnover|lineouts_won|turnovers_conceded|penalties_conceded|yellow_cards|red_cards|fifty_22|lineout_steals|scrums_won|potm|metres,0.9751086488195649
six_nations,6n-2025-r2,134,tries|try_assists|conversion_goals|missed_conversion_goals|penalty_goals|missed_penalty_goals|drop_goals_converted|defenders_beaten|clean_breaks|offload|tackles|missed_tackles|tackle_turnover|lineouts_won|turnovers_conceded|penalties_conceded|yellow_cards|red_cards|fifty_22|lineout_steals|scrums_won|potm|metres,0.9588892808996451
six_nations,6n-2025-r3,136,tries|try_assists|conversion_goals|missed_conversion_goals|penalty_goals|missed_penalty_goals|drop_goals_converted|defenders_beaten|clean_breaks|offload|tackles|missed_tackles|tackle_turnover|lineouts_won|turnovers_conceded|penalties_conceded|yellow_cards|red_cards|fifty_22|lineout_steals|scrums_won|potm|metres,0.9624471031957877
six_nations,6n-2025-r4,137,tries|try_assists|conversion_goals|missed_conversion_goals|penalty_goals|missed_penalty_goals|drop_goals_converted|defenders_beaten|clean_breaks|offload|tackles|missed_tackles|tackle_turnover|lineouts_won|turnovers_conceded|penalties_conceded|yellow_cards|red_cards|fifty_22|lineout_steals|scrums_won|potm|metres,0.9525013824265183
six_nations,6n-2025-r5,136,tries|try_assists|conversion_goals|missed_conversion_goals|penalty_goals|missed_penalty_goals|drop_goals_converted|defenders_beaten|clean_breaks|offload|tackles|missed_tackles|tackle_turnover|lineouts_won|turnovers_conceded|penalties_conceded|yellow_cards|red_cards|fifty_22|lineout_steals|scrums_won|potm|metres,0.9596738369599889
six_nations,6n-2026-r1,131,tries|try_assists|conversion_goals|missed_conversion_goals|penalty_goals|missed_penalty_goals|drop_goals_converted|defenders_beaten|clean_breaks|offload|tackles|missed_tackles|tackle_turnover|lineouts_won|turnovers_conceded|penalties_conceded|yellow_cards|red_cards|fifty_22|lineout_steals|scrums_won|potm|metres,0.9567889408707253
six_nations,6n-2026-r2,131,tries|try_assists|conversion_goals|missed_conversion_goals|penalty_goals|missed_penalty_goals|drop_goals_converted|defenders_beaten|clean_breaks|offload|tackles|missed_tackles|tackle_turnover|lineouts_won|turnovers_conceded|penalties_conceded|yellow_cards|red_cards|fifty_22|lineout_steals|scrums_won|potm|metres,0.9747439051943896
six_nations,6n-2026-r3,136,tries|try_assists|conversion_goals|missed_conversion_goals|penalty_goals|missed_penalty_goals|drop_goals_converted|defenders_beaten|clean_breaks|offload|tackles|missed_tackles|tackle_turnover|lineouts_won|turnovers_conceded|penalties_conceded|yellow_cards|red_cards|fifty_22|lineout_steals|scrums_won|potm|metres,0.9594739221145445
six_nations,6n-2026-r4,135,tries|try_assists|conversion_goals|missed_conversion_goals|penalty_goals|missed_penalty_goals|drop_goals_converted|defenders_beaten|clean_breaks|offload|tackles|missed_tackles|tackle_turnover|lineouts_won|turnovers_conceded|penalties_conceded|yellow_cards|red_cards|fifty_22|lineout_steals|scrums_won|potm|metres,0.9567892717193864
six_nations,6n-2026-r5,135,tries|try_assists|conversion_goals|missed_conversion_goals|penalty_goals|missed_penalty_goals|drop_goals_converted|defenders_beaten|clean_breaks|offload|tackles|missed_tackles|tackle_turnover|lineouts_won|turnovers_conceded|penalties_conceded|yellow_cards|red_cards|fifty_22|lineout_steals|scrums_won|potm|metres,0.9605344924971171
