competition,event,n,coverage,observable
ncr,clean_breaks,505,1.0,True
ncr,conversion_goals,505,1.0,True
ncr,defenders_beaten,505,1.0,True
ncr,drop_goals_converted,505,1.0,True
ncr,interceptions,505,0.0,False
ncr,lineout_steals,505,0.0,False
ncr,lineouts_won,505,1.0,True
ncr,metres,505,1.0,True
ncr,missed_conversion_goals,505,1.0,True
ncr,missed_penalty_goals,505,1.0,True
ncr,missed_tackles,505,1.0,True
ncr,offload,505,1.0,True
ncr,penalties_conceded,505,1.0,True
ncr,penalty_goals,505,1.0,True
ncr,potm,505,0.0,False
ncr,red_cards,505,1.0,True
ncr,scrums_won,505,0.0,False
ncr,tackle_turnover,505,1.0,True
ncr,tackles,505,1.0,True
ncr,tries,505,1.0,True
ncr,try_assists,505,1.0,True
ncr,turnovers_conceded,505,1.0,True
ncr,yellow_cards,505,1.0,True
six_nations,conversion_goals,1342,1.0,True
six_nations,defenders_beaten,1342,1.0,True
six_nations,drop_goals_converted,1342,1.0,True
six_nations,fifty_22,1342,1.0,True
six_nations,kicks_retained,1342,0.4977645305514158,False
six_nations,lineout_steals,1342,1.0,True
six_nations,metres,1342,1.0,True
six_nations,offload,1342,1.0,True
six_nations,penalties_conceded,1342,1.0,True
six_nations,penalty_goals,1342,1.0,True
six_nations,potm,1342,1.0,True
six_nations,red_cards,1342,1.0,True
six_nations,scrums_won,1342,1.0,True
six_nations,tackle_turnover,1342,1.0,True
six_nations,tackles,1342,1.0,True
six_nations,try_assists,1342,1.0,True
six_nations,yellow_cards,1342,1.0,True
