fixture_id,date,team,opponent,match_at,lock_at,timestamp_precision,ncr_gameday,ncr_fantasy_match_id
79621,2019-07-27,Fiji,Japan,2019-07-27 00:00:00+00:00,2019-07-27 00:00:00+00:00,date,,
79621,2019-07-27,Japan,Fiji,2019-07-27 00:00:00+00:00,2019-07-27 00:00:00+00:00,date,,
79648,2019-08-03,Japan,Tonga,2019-08-03 00:00:00+00:00,2019-08-03 00:00:00+00:00,date,,
79666,2019-08-03,Fiji,Canada,2019-08-03 00:00:00+00:00,2019-08-03 00:00:00+00:00,date,,
79684,2019-08-10,Japan,USA,2019-08-10 00:00:00+00:00,2019-08-10 00:00:00+00:00,date,,
79693,2019-08-10,Fiji,Samoa,2019-08-10 00:00:00+00:00,2019-08-10 00:00:00+00:00,date,,
80890,2020-10-11,Australia,New Zealand,2020-10-11 00:00:00+00:00,2020-10-11 00:00:00+00:00,date,,
80890,2020-10-11,New Zealand,Australia,2020-10-11 00:00:00+00:00,2020-10-11 00:00:00+00:00,date,,
80899,2020-10-18,Australia,New Zealand,2020-10-18 00:00:00+00:00,2020-10-18 00:00:00+00:00,date,,
80899,2020-10-18,New Zealand,Australia,2020-10-18 00:00:00+00:00,2020-10-18 00:00:00+00:00,date,,
80917,2020-10-23,Scotland,Georgia,2020-10-23 00:00:00+00:00,2020-10-23 00:00:00+00:00,date,,
80908,2020-10-24,France,Wales,2020-10-24 00:00:00+00:00,2020-10-24 00:00:00+00:00,date,,
80908,2020-10-24,Wales,France,2020-10-24 00:00:00+00:00,2020-10-24 00:00:00+00:00,date,,
26503,2020-10-31,Australia,New Zealand,2020-10-31 00:00:00+00:00,2020-10-31 00:00:00+00:00,date,,
26503,2020-10-31,New Zealand,Australia,2020-10-31 00:00:00+00:00,2020-10-31 00:00:00+00:00,date,,
26512,2020-11-07,Australia,New Zealand,2020-11-07 00:00:00+00:00,2020-11-07 00:00:00+00:00,date,,
26512,2020-11-07,New Zealand,Australia,2020-11-07 00:00:00+00:00,2020-11-07 00:00:00+00:00,date,,
3285106,2020-11-13,Ireland,Wales,2020-11-13 00:00:00+00:00,2020-11-13 00:00:00+00:00,date,,
3285106,2020-11-13,Wales,Ireland,2020-11-13 00:00:00+00:00,2020-11-13 00:00:00+00:00,date,,
26521,2020-11-14,Argentina,New Zealand,2020-11-14 00:00:00+00:00,2020-11-14 00:00:00+00:00,date,,
26521,2020-11-14,New Zealand,Argentina,2020-11-14 00:00:00+00:00,2020-11-14 00:00:00+00:00,date,,
3285115,2020-11-14,Italy,Scotland,2020-11-14 00:00:00+00:00,2020-11-14 00:00:00+00:00,date,,
3285115,2020-11-14,Scotland,Italy,2020-11-14 00:00:00+00:00,2020-11-14 00:00:00+00:00,date,,
3285124,2020-11-14,England,Georgia,2020-11-14 00:00:00+00:00,2020-11-14 00:00:00+00:00,date,,
26530,2020-11-21,Argentina,Australia,2020-11-21 00:00:00+00:00,2020-11-21 00:00:00+00:00,date,,
26530,2020-11-21,Australia,Argentina,2020-11-21 00:00:00+00:00,2020-11-21 00:00:00+00:00,date,,
3285205,2020-11-21,England,Ireland,2020-11-21 00:00:00+00:00,2020-11-21 00:00:00+00:00,date,,
3285205,2020-11-21,Ireland,England,2020-11-21 00:00:00+00:00,2020-11-21 00:00:00+00:00,date,,
3285214,2020-11-21,Wales,Georgia,2020-11-21 00:00:00+00:00,2020-11-21 00:00:00+00:00,date,,
3285223,2020-11-22,France,Scotland,2020-11-22 00:00:00+00:00,2020-11-22 00:00:00+00:00,date,,
3285223,2020-11-22,Scotland,France,2020-11-22 00:00:00+00:00,2020-11-22 00:00:00+00:00,date,,
26539,2020-11-28,Argentina,New Zealand,2020-11-28 00:00:00+00:00,2020-11-28 00:00:00+00:00,date,,
26539,2020-11-28,New Zealand,Argentina,2020-11-28 00:00:00+00:00,2020-11-28 00:00:00+00:00,date,,
3285295,2020-11-28,England,Wales,2020-11-28 00:00:00+00:00,2020-11-28 00:00:00+00:00,date,,
3285295,2020-11-28,Wales,England,2020-11-28 00:00:00+00:00,2020-11-28 00:00:00+00:00,date,,
3285304,2020-11-28,France,Italy,2020-11-28 00:00:00+00:00,2020-11-28 00:00:00+00:00,date,,
3285304,2020-11-28,Italy,France,2020-11-28 00:00:00+00:00,2020-11-28 00:00:00+00:00,date,,
3285313,2020-11-29,Ireland,Georgia,2020-11-29 00:00:00+00:00,2020-11-29 00:00:00+00:00,date,,
26548,2020-12-05,Argentina,Australia,2020-12-05 00:00:00+00:00,2020-12-05 00:00:00+00:00,date,,
26548,2020-12-05,Australia,Argentina,2020-12-05 00:00:00+00:00,2020-12-05 00:00:00+00:00,date,,
3285376,2020-12-05,Fiji,Georgia,2020-12-05 00:00:00+00:00,2020-12-05 00:00:00+00:00,date,,
3285385,2020-12-05,Ireland,Scotland,2020-12-05 00:00:00+00:00,2020-12-05 00:00:00+00:00,date,,
3285385,2020-12-05,Scotland,Ireland,2020-12-05 00:00:00+00:00,2020-12-05 00:00:00+00:00,date,,
3285394,2020-12-05,Italy,Wales,2020-12-05 00:00:00+00:00,2020-12-05 00:00:00+00:00,date,,
3285394,2020-12-05,Wales,Italy,2020-12-05 00:00:00+00:00,2020-12-05 00:00:00+00:00,date,,
3285403,2020-12-06,England,France,2020-12-06 00:00:00+00:00,2020-12-06 00:00:00+00:00,date,,
3285403,2020-12-06,France,England,2020-12-06 00:00:00+00:00,2020-12-06 00:00:00+00:00,date,,
8289106,2021-02-06,France,Italy,2021-02-06 00:00:00+00:00,2021-02-06 00:00:00+00:00,round_date,,
