competition,rubric_era,season,round,key_fixture,key_player,team,player_name,position,is_forward,official_pts,group_id,status,label_percentile,label_z,_label_row_id,predicted_points,career_matches,matched,engine
ncr,modern,2026,1,ncr-gw1,140494,Fiji,Jiuta Wainiqolo,Back Three,False,80.0,ncr-2026-gw1,P,1.0,4.210127901651092,0,22.9275,104.0,True,gbdt_v4
ncr,modern,2026,1,ncr-gw1,229307,New Zealand,Cam Roigard,Scrum Half,False,74.0,ncr-2026-gw1,P,0.9962962962962963,3.804561676957343,1,19.75125,71.0,True,gbdt_v4
ncr,modern,2026,1,ncr-gw1,146480,Scotland,Sione Tuipulotu,Centre,False,60.0,ncr-2026-gw1,P,0.9888888888888888,2.858240486005263,2,14.17,118.0,True,gbdt_v4
ncr,modern,2026,1,ncr-gw1,121353,South Africa,Malcolm Marx,Hooker,True,40.0,ncr-2026-gw1,P,0.9185185185185184,1.5063530703594348,3,34.9375,89.0,True,gbdt_v4
ncr,modern,2026,1,ncr-gw1,123016,Wales,Jac Morgan,Loose Forward,True,62.0,ncr-2026-gw1,P,0.9925925925925926,2.993429227569846,4,31.2975,75.0,True,gbdt_v4
ncr,modern,2026,1,ncr-gw1,244532,France,Theo Attissogbe,Back Three,False,55.0,ncr-2026-gw1,P,0.9833333333333332,2.520268632093806,5,18.96625,76.0,True,gbdt_v4
ncr,modern,2026,1,ncr-gw1,180778,Scotland,Kyle Rowe,Back Three,False,55.0,ncr-2026-gw1,P,0.9833333333333332,2.520268632093806,6,16.51375,73.0,True,gbdt_v4
ncr,modern,2026,1,ncr-gw1,250067,France,Fabien Brau-Boirie,Centre,False,53.0,ncr-2026-gw1,P,0.974074074074074,2.385079890529223,7,21.24875,40.0,True,gbdt_v4
ncr,modern,2026,1,ncr-gw1,190344,France,Matthieu Jalibert,Fly Half,False,50.0,ncr-2026-gw1,P,0.9685185185185186,2.182296778182349,8,26.54625,119.0,True,gbdt_v4
ncr,modern,2026,1,ncr-gw1,240624,Fiji,Selestino Ravutaumada,Centre,False,50.0,ncr-2026-gw1,P,0.9685185185185186,2.182296778182349,9,17.53375,71.0,True,gbdt_v4
ncr,modern,2026,1,ncr-gw1,162344,Argentina,Julian Montoya,Hooker,True,37.0,ncr-2026-gw1,P,0.8851851851851852,1.3035699580125606,10,24.60125,126.0,True,gbdt_v4
ncr,modern,2026,1,ncr-gw1,180443,South Africa,Damian Willemse,Back Three,False,33.0,ncr-2026-gw1,P,0.8388888888888889,1.033192474883395,11,14.98,98.0,True,gbdt_v4
ncr,modern,2026,1,ncr-gw1,142873,Japan,Ben Gunter,Loose Forward,True,54.0,ncr-2026-gw1,P,0.9777777777777776,2.4526742613115147,12,21.99625,51.0,True,gbdt_v4
ncr,modern,2026,1,ncr-gw1,146220,New Zealand,Will Jordan,Back Three,False,47.0,ncr-2026-gw1,P,0.9555555555555556,1.9795136658354748,13,27.0975,96.0,True,gbdt_v4
ncr,modern,2026,1,ncr-gw1,245050,Australia,Max Jorgensen,Back Three,False,47.0,ncr-2026-gw1,P,0.9555555555555556,1.9795136658354748,14,20.15625,59.0,True,gbdt_v4
ncr,modern,2026,1,ncr-gw1,145361,Ireland,Hugo Keenan,Back Three,False,46.0,ncr-2026-gw1,P,0.9481481481481482,1.9119192950531836,15,10.67625,90.0,True,gbdt_v4
ncr,modern,2026,1,ncr-gw1,229505,Argentina,Lucio Cinti,Centre,False,45.0,ncr-2026-gw1,P,0.9444444444444444,1.844324924270892,16,14.3,95.0,True,gbdt_v4
ncr,modern,2026,1,ncr-gw1,187820,Scotland,Rory Darge,Loose Forward,True,47.0,ncr-2026-gw1,P,0.9555555555555556,1.9795136658354748,17,27.8575,99.0,True,gbdt_v4
ncr,modern,2026,1,ncr-gw1,154929,South Africa,Cheslin Kolbe,Back Three,False,42.0,ncr-2026-gw1,P,0.9296296296296296,1.6415418119240175,18,43.96,83.0,True,gbdt_v4
ncr,modern,2026,1,ncr-gw1,126800,Ireland,Josh van der Flier,Loose Forward,True,43.0,ncr-2026-gw1,P,0.9388888888888888,1.7091361827063092,19,26.15625,119.0,True,gbdt_v4
ncr,modern,2026,1,ncr-gw1,104346,Fiji,Tevita Ikanivere,Hooker,True,33.0,ncr-2026-gw1,P,0.8388888888888889,1.033192474883395,20,24.9425,98.0,True,gbdt_v4
ncr,modern,2026,1,ncr-gw1,207343,South Africa,Grant Williams,Scrum Half,False,39.0,ncr-2026-gw1,P,0.9092592592592592,1.4387586995771435,21,25.1025,84.0,True,gbdt_v4
ncr,modern,2026,1,ncr-gw1,216173,Ireland,Jamison Gibson-Park,Scrum Half,False,39.0,ncr-2026-gw1,P,0.9092592592592592,1.4387586995771435,22,13.7075,112.0,True,gbdt_v4
ncr,modern,2026,1,ncr-gw1,105748,Ireland,Jack Conan,Loose Forward,True,40.0,ncr-2026-gw1,P,0.9185185185185184,1.5063530703594348,23,22.42625,112.0,True,gbdt_v4
ncr,modern,2026,1,ncr-gw1,109816,Scotland,Rory Hutchinson,Centre,False,37.0,ncr-2026-gw1,P,0.8851851851851852,1.3035699580125606,24,12.9,90.0,True,gbdt_v4
ncr,modern,2026,1,ncr-gw1,239638,Japan,Takuro Matsunaga,Back Three,False,37.0,ncr-2026-gw1,P,0.8851851851851852,1.3035699580125606,25,13.1175,41.0,True,gbdt_v4
ncr,modern,2026,1,ncr-gw1,243815,France,Marko Gazzotti,Loose Forward,True,42.0,ncr-2026-gw1,P,0.9296296296296296,1.6415418119240175,26,20.91,67.0,True,gbdt_v4
ncr,modern,2026,1,ncr-gw1,179379,New Zealand,Ardie Savea,Loose Forward,True,43.0,ncr-2026-gw1,P,0.9388888888888888,1.7091361827063092,27,35.32375,116.0,True,gbdt_v4
ncr,modern,2026,1,ncr-gw1,214439,Australia,Rob Valetini,Loose Forward,True,37.0,ncr-2026-gw1,P,0.8851851851851852,1.3035699580125606,28,19.73625,128.0,True,gbdt_v4
ncr,modern,2026,1,ncr-gw1,128023,Fiji,Salesi Rayasi,Back Three,False,35.0,ncr-2026-gw1,P,0.8666666666666667,1.168381216447978,29,16.5975,88.0,True,gbdt_v4
ncr,modern,2026,1,ncr-gw1,165007,England,Ellis Genge,Prop,True,35.0,ncr-2026-gw1,P,0.8666666666666667,1.168381216447978,30,14.28875,123.0,True,gbdt_v4
ncr,modern,2026,1,ncr-gw1,133457,France,Antoine Hastoy,Fly Half,False,35.0,ncr-2026-gw1,B,0.8666666666666667,1.168381216447978,31,5.2975,119.0,True,gbdt_v4
