group_id,competition,n,mae,spearman,top_10_overlap,top_10_capture,top_25_overlap,top_25_capture,top_50_overlap,top_50_capture,top_100_overlap,top_100_capture
6n-2025-r1,six_nations,131,6.731995458251488,0.7221171776433034,0.4,0.6971544715447154,0.6,0.8265835929387332,0.7133333333333333,0.8922155688622755,0.9,0.9725963771481654
6n-2025-r2,six_nations,134,6.846429095226008,0.6296085951855143,0.3,0.6431818181818182,0.54,0.7094117647058824,0.6428571428571429,0.8555389221556886,0.872,0.9386767079074771
6n-2025-r3,six_nations,136,7.000370091661254,0.696949619538342,0.2,0.6906187624750499,0.48,0.7494780793319415,0.68,0.8582243633860978,0.895,0.9656526005888125
6n-2025-r4,six_nations,137,7.649184221114923,0.6225396124136611,0.23333333333333334,0.7413793103448276,0.61,0.8062880324543611,0.66,0.8482932996207333,0.86,0.9306974677920924
6n-2025-r5,six_nations,136,7.482319760200818,0.5950996569146764,0.2,0.4904862579281184,0.34,0.6895787139689579,0.66,0.8176795580110497,0.8740000000000001,0.93603515625
6n-2026-r1,six_nations,131,8.081419097368215,0.6183698336772563,0.5,0.7899159663865546,0.5,0.7407407407407407,0.58,0.7942359249329759,0.882,0.9497560975609756
6n-2026-r2,six_nations,131,7.444934616386572,0.6593642681739637,0.3,0.6994106090373281,0.5333333333333333,0.7461389961389961,0.73,0.8828320802005013,0.882,0.9652133580705009
6n-2026-r3,six_nations,136,7.616382448028234,0.5884749989494215,0.3,0.5949367088607594,0.5466666666666666,0.7569593147751607,0.6733333333333333,0.7990495587236931,0.84,0.9320809248554913
6n-2026-r4,six_nations,135,6.9990858170410455,0.7261997506093822,0.3,0.5553359683794467,0.5,0.7832310838445807,0.7666666666666667,0.9129011132940406,0.894,0.9543336439888164
6n-2026-r5,six_nations,135,6.792695578883812,0.7373314532512959,0.4,0.7474747474747475,0.5333333333333333,0.7865979381443299,0.6133333333333334,0.8427550357374919,0.895,0.968521897810219
ncr-2026-gw1,ncr,270,9.729181415088505,0.5803773586486307,0.4,0.7419898819561551,0.38,0.6921221864951769,0.45,0.6786389413988658,0.62,0.7998201977824393
ncr-2026-gw2,ncr,262,8.431401348053257,0.5381861512283361,0.3,0.6621848739495798,0.36,0.7593073593073593,0.44,0.7472642001042209,0.6158333333333333,0.7710641154749917
