group_id,season,n,mae,spearman,top_10_overlap,top_10_capture,top_25_overlap,top_25_capture,top_50_overlap,top_50_capture,top_100_overlap,top_100_capture
6n-2025-r1,2025,131,6.731735652161426,0.7221171776433034,0.4,0.6971544715447154,0.6,0.8265835929387332,0.7133333333333333,0.8922155688622755,0.9,0.9725963771481654
6n-2025-r2,2025,134,6.846450435219578,0.6296085951855143,0.3,0.6431818181818182,0.54,0.7094117647058824,0.6428571428571429,0.8555389221556886,0.872,0.9386767079074771
6n-2025-r3,2025,136,7.000498426371941,0.696949619538342,0.2,0.6906187624750499,0.48,0.7494780793319415,0.68,0.8582243633860978,0.895,0.9656526005888125
6n-2025-r4,2025,137,7.6490341789789085,0.6225396124136611,0.23333333333333334,0.7413793103448276,0.61,0.8062880324543611,0.66,0.8482932996207333,0.86,0.9306974677920924
6n-2025-r5,2025,136,7.482367273952092,0.5949540431324335,0.2,0.4904862579281184,0.34,0.6895787139689579,0.66,0.8176795580110497,0.8740000000000001,0.93603515625
6n-2026-r1,2026,131,8.081727125360864,0.6183698336772563,0.5,0.7899159663865546,0.5,0.7407407407407407,0.58,0.7942359249329759,0.882,0.9497560975609756
6n-2026-r2,2026,131,7.4446778508387474,0.6596688046756768,0.3,0.6994106090373281,0.5333333333333333,0.7461389961389961,0.73,0.8828320802005013,0.882,0.9652133580705009
6n-2026-r3,2026,136,7.6164793035808955,0.5884749989494215,0.3,0.5949367088607594,0.5466666666666666,0.7569593147751607,0.6733333333333333,0.7990495587236931,0.84,0.9320809248554913
6n-2026-r4,2026,135,6.999230553693661,0.7261997506093822,0.3,0.5553359683794467,0.5,0.7832310838445807,0.7666666666666667,0.9129011132940406,0.894,0.9543336439888164
6n-2026-r5,2026,135,6.79271584961882,0.7372655658332905,0.4,0.7474747474747475,0.5333333333333333,0.7865979381443299,0.6133333333333334,0.8427550357374919,0.895,0.968521897810219
