group_id,config,n,mae,spearman,top_10_overlap,top_10_capture,top_25_overlap,top_25_capture,top_50_overlap,top_50_capture,top_100_overlap,top_100_capture,thin_n,thin_mae,k_tries,k_tackles
6n-2025-r1,baseline(frozen),131,7.267471374045801,0.6865414820919892,0.3,0.6747967479674797,0.52,0.7538940809968847,0.6466666666666667,0.852960745176314,0.9,0.9665582907570831,16,4.06859375,,
6n-2025-r1,A,131,7.199274809160306,0.6775353825875573,0.2,0.6504065040650406,0.48,0.7819314641744548,0.6266666666666666,0.8343313373253493,0.9,0.9637714816535068,16,4.2670312500000005,819.4825396870214,55.54282501082904
6n-2025-r1,B,131,7.158368320610687,0.6958089178655837,0.3,0.7154471544715447,0.48,0.7642782969885774,0.6866666666666668,0.8562874251497006,0.89,0.9554110543427775,16,4.221953125000001,,
6n-2025-r2,baseline(frozen),134,6.863722014925373,0.6295811377668196,0.35,0.7454545454545455,0.58,0.7729411764705882,0.6314285714285715,0.8450598802395209,0.882,0.9521247982786444,14,5.387321428571427,,
6n-2025-r2,A,134,6.8026772388059715,0.6432025135683663,0.3,0.6318181818181818,0.62,0.7564705882352941,0.6371428571428571,0.8525449101796407,0.862,0.9386767079074771,14,5.209732142857143,818.2229042531387,55.40943543889122
6n-2025-r2,B,134,6.9526679104477624,0.6330407725223526,0.35,0.6772727272727272,0.58,0.7435294117647059,0.657142857142857,0.8615269461077845,0.862,0.9440559440559441,14,4.842232142857142,,
6n-2025-r3,baseline(frozen),136,6.541479779411766,0.7128736483617147,0.4,0.7325349301397206,0.56,0.791231732776618,0.7266666666666667,0.8947006194081212,0.8575,0.943081452404318,15,5.163916666666667,,
6n-2025-r3,A,136,6.711360294117647,0.6895892326024412,0.4,0.782435129740519,0.48,0.7348643006263048,0.6866666666666668,0.8637302133516862,0.875,0.9499509322865555,15,4.961083333333333,811.7157537635156,55.32958790951505
6n-2025-r3,B,136,6.806277573529412,0.696931351477774,0.4,0.780439121756487,0.54,0.8016701461377871,0.64,0.8437715072264281,0.8875,0.9592737978410206,15,5.270166666666666,,
6n-2025-r4,baseline(frozen),137,8.126359489051096,0.5939458525430895,0.3,0.6487068965517241,0.62,0.8012170385395537,0.63,0.8097345132743363,0.84,0.9182585517547757,11,8.615681818181818,,
6n-2025-r4,A,137,8.026277372262776,0.594356429611958,0.3,0.6400862068965517,0.58,0.7667342799188641,0.63,0.8223767383059418,0.85,0.9315859617947578,11,8.259204545454546,809.7734589485402,55.15197384061871
6n-2025-r4,B,137,7.849470802919709,0.5985701802849609,0.33333333333333337,0.7112068965517241,0.58,0.7596348884381339,0.63,0.8356510745891277,0.84,0.9240337627721013,11,8.211136363636363,,
6n-2025-r5,baseline(frozen),136,7.537288602941176,0.6137317917011446,0.2,0.5095137420718816,0.34,0.6662971175166297,0.66,0.819060773480663,0.894,0.95703125,13,6.633269230769231,,
6n-2025-r5,A,136,7.537904411764706,0.6048543638754528,0.3,0.5644820295983086,0.26,0.5809312638580931,0.64,0.8142265193370166,0.914,0.9677734375,13,7.005192307692307,808.8075677003776,55.09618068847777
6n-2025-r5,B,136,7.591102941176469,0.6399781104763936,0.3,0.5813953488372093,0.38,0.6729490022172949,0.68,0.830110497237569,0.914,0.9677734375,13,7.023365384615387,,
