group_id,event,head,n,brier,p90_coverage
6n-2025-r1,tries,hurdle,131,0.0819165344533302,0.9465648854961832
6n-2025-r1,tries,plain_nb,131,0.0831637643727474,0.9770992366412213
6n-2025-r1,try_assists,hurdle,131,0.06181724639240589,0.9694656488549618
6n-2025-r1,try_assists,plain_nb,131,0.06136373721359405,0.9770992366412213
6n-2025-r1,clean_breaks,hurdle,131,0.13729637537008255,0.9541984732824428
6n-2025-r1,clean_breaks,plain_nb,131,0.12803630015820588,0.9694656488549618
6n-2025-r1,tackle_turnover,hurdle,131,0.09952854148113718,0.9389312977099237
6n-2025-r1,tackle_turnover,plain_nb,131,0.09969595718436872,0.9618320610687023
6n-2025-r2,tries,hurdle,134,0.08144194082387868,0.9552238805970149
6n-2025-r2,tries,plain_nb,134,0.08018655678254462,0.9552238805970149
6n-2025-r2,try_assists,hurdle,134,0.06564937886779666,0.9701492537313433
6n-2025-r2,try_assists,plain_nb,134,0.06357257638331697,0.9776119402985075
6n-2025-r2,clean_breaks,hurdle,134,0.08873847352576009,0.9701492537313433
6n-2025-r2,clean_breaks,plain_nb,134,0.08434014868762793,0.9626865671641791
6n-2025-r2,tackle_turnover,hurdle,134,0.06024907849436993,0.9626865671641791
6n-2025-r2,tackle_turnover,plain_nb,134,0.05953990566361308,0.9850746268656716
6n-2025-r3,tries,hurdle,136,0.09324244157829532,0.9705882352941176
6n-2025-r3,tries,plain_nb,136,0.08685230162984359,0.9926470588235294
6n-2025-r3,try_assists,hurdle,136,0.07611261961464204,0.9705882352941176
6n-2025-r3,try_assists,plain_nb,136,0.07366177037332229,0.9632352941176471
6n-2025-r3,clean_breaks,hurdle,136,0.1437571278860418,0.9485294117647058
6n-2025-r3,clean_breaks,plain_nb,136,0.13310644720457968,0.9558823529411765
6n-2025-r3,tackle_turnover,hurdle,136,0.07387525972873912,0.9485294117647058
6n-2025-r3,tackle_turnover,plain_nb,136,0.07341947419679323,0.9632352941176471
6n-2025-r4,tries,hurdle,137,0.12766331516861207,0.927007299270073
6n-2025-r4,tries,plain_nb,137,0.12058542157334015,0.948905109489051
6n-2025-r4,try_assists,hurdle,137,0.12089273132111811,0.9124087591240876
6n-2025-r4,try_assists,plain_nb,137,0.11573315287539745,0.9416058394160584
6n-2025-r4,clean_breaks,hurdle,137,0.11315564043958351,0.9416058394160584
6n-2025-r4,clean_breaks,plain_nb,137,0.11115334523250446,0.927007299270073
6n-2025-r4,tackle_turnover,hurdle,137,0.09187014290033627,0.927007299270073
6n-2025-r4,tackle_turnover,plain_nb,137,0.0925022707375635,0.948905109489051
6n-2025-r5,tries,hurdle,136,0.09358055095142262,0.9411764705882353
6n-2025-r5,tries,plain_nb,136,0.09445205611440693,0.9485294117647058
6n-2025-r5,try_assists,hurdle,136,0.07428598172389876,0.9632352941176471
6n-2025-r5,try_assists,plain_nb,136,0.07201779681972022,0.9779411764705882
6n-2025-r5,clean_breaks,hurdle,136,0.13558736092362042,0.9705882352941176
6n-2025-r5,clean_breaks,plain_nb,136,0.12966107085597156,0.9705882352941176
6n-2025-r5,tackle_turnover,hurdle,136,0.08226364246484366,0.9191176470588235
6n-2025-r5,tackle_turnover,plain_nb,136,0.08314585762689593,0.9485294117647058
