Player,Nation,Position,MP,POTM,MC,DB,OF,T,As,C,Pen,DG,SW,50-22,Ta,BS,LS,CPen,YC,RC ,AP
L. Barre,France,Back Row,1,0,164,6,3,2,0,0,0,0,0,0,2,0,0,0,0,0,56.0
B. Kinghorn,Scotland,Back Row,5,1,855,25,13,2,1,1,2,0,0,0,7,0,0,3,0,0,42.0
L. Bielle-Biarrey,France,Back Row,5,1,400,13,4,8,4,0,0,0,0,0,25,0,0,2,0,0,41.2
T. Attissogbe,France,Back Row,2,0,167,4,3,3,1,0,0,0,0,0,17,0,0,0,0,0,40.0
H. Pollock,England,Fly-half,1,0,25,1,0,2,0,0,0,0,3,0,3,0,0,0,0,0,40.0
A. Dupont,France,Scrum-half,4,1,285,13,10,2,7,0,0,0,0,0,16,0,0,4,0,0,37.0
T. Ramos,France,Back Row,5,0,441,11,7,1,2,21,8,0,0,1,14,0,0,3,0,0,35.8
G. Alldritt,France,Fly-half,5,1,320,8,3,2,0,0,0,0,10,0,50,4,0,2,0,0,35.0
J. Morgan,Wales,Fly-half,5,0,315,9,2,1,0,0,0,0,15,0,88,1,0,3,0,0,34.4
T. Menoncello,Italy,Back Row,5,0,323,20,4,2,0,0,0,0,0,0,59,3,0,3,0,0,33.8
L. Barre,France,Back Row,1,0,164,6,3,2,0,0,0,0,0,0,2,0,0,0,0,0,56.0
B. Kinghorn,Scotland,Back Row,5,1,855,25,13,2,1,1,2,0,0,0,7,0,0,3,0,0,42.0
L. Bielle-Biarrey,France,Back Row,5,1,400,13,4,8,4,0,0,0,0,0,25,0,0,2,0,0,41.2
T. Attissogbe,France,Back Row,2,0,167,4,3,3,1,0,0,0,0,0,17,0,0,0,0,0,40.0
H. Pollock,England,Fly-half,1,0,25,1,0,2,0,0,0,0,3,0,3,0,0,0,0,0,40.0
A. Dupont,France,Scrum-half,4,1,285,13,10,2,7,0,0,0,0,0,16,0,0,4,0,0,37.0
T. Ramos,France,Back Row,5,0,441,11,7,1,2,21,8,0,0,1,14,0,0,3,0,0,35.8
G. Alldritt,France,Fly-half,5,1,320,8,3,2,0,0,0,0,10,0,50,4,0,2,0,0,35.0
J. Morgan,Wales,Fly-half,5,0,315,9,2,1,0,0,0,0,15,0,88,1,0,3,0,0,34.4
T. Menoncello,Italy,Back Row,5,0,323,20,4,2,0,0,0,0,0,0,59,3,0,3,0,0,33.8
D. van der Merwe,Scotland,Back Row,5,1,475,28,7,2,1,0,0,0,0,0,18,0,0,1,1,0,33.4
D. Sheehan,Ireland,Centre,5,1,176,6,0,5,0,0,0,0,11,0,39,0,0,1,0,0,33.4
B. Earl,England,Fly-half,5,0,425,12,0,1,0,0,0,0,15,0,48,5,0,4,0,0,32.6
T. Freeman,England,Back Row,5,0,329,15,7,5,1,0,0,0,0,0,29,1,0,1,0,0,32.2
C. Doris,Ireland,Fly-half,4,0,269,2,3,1,0,0,0,0,15,0,51,3,0,3,0,0,32.0
Y. Moefana,France,Back Row,5,1,331,12,4,2,2,0,0,0,0,0,54,0,0,0,0,0,31.8
