player,slug,competition,season,games,minutes,tries,try_assists,points,carries,metres,av_gain,post_contact_metres,defenders_beaten,clean_breaks,offloads,handling_errors,passes,bad_passes,tackles,missed_tackles,tackles_success_pct,dominant_tackles,turnovers_won,turnovers_conceded,kicks_from_hand,penalties_conceded,yellow_cards,red_cards
A. Beard,adam-beard,Six Nations,2026,4,171,0,0,0,10.0,16.0,1.56,15.0,,0,1,0,8.0,0,21.0,2.0,0.78,2,0,1,1,0,0,0
A. Beard,adam-beard,Six Nations,2024,5,319,0,1,0,20.0,14.0,0.73,32.0,,0,0,0,28.0,4,43.0,3.0,0.9,4,1,0,0,2,0,0
A. Capuozzo,ange-capuozzo,Six Nations,2026,1,72,1,0,5,15.0,66.0,4.39,18.0,2.0,1,0,0,3.0,0,4.0,2.0,0.57,1,1,3,4,0,0,0
A. Capuozzo,ange-capuozzo,Six Nations,2025,5,393,2,1,10,30.0,145.0,4.83,69.0,11.0,4,1,4,10.0,2,24.0,12.0,0.63,1,0,4,15,3,0,0
A. Capuozzo,ange-capuozzo,Six Nations,2024,3,240,1,0,5,24.0,175.0,7.3,71.0,8.0,3,1,2,16.0,4,15.0,6.0,0.5,1,0,3,9,0,0,0
A. Coles,alex-coles,Six Nations,2026,5,233,1,1,5,13.0,25.0,1.94,17.0,1.0,0,0,2,14.0,1,41.0,4.0,0.87,3,1,3,0,2,0,0
A. Coles,alex-coles,Six Nations,2024,2,27,0,0,0,,,,,,0,0,0,1.0,0,14.0,1.0,0.88,1,0,0,0,0,0,0
A. Craig,alex-craig,Six Nations,2026,1,18,0,0,0,3.0,0.0,0.13,3.0,,0,0,0,1.0,0,4.0,,0.8,0,0,0,0,1,0,0
A. Dupont,antoine-dupont,Six Nations,2026,5,358,1,5,5,45.0,203.0,4.51,91.0,16.0,3,7,4,283.0,16,30.0,6.0,0.79,3,3,5,68,2,0,0
A. Dupont,antoine-dupont,Six Nations,2025,4,237,2,7,10,46.0,238.0,5.16,93.0,13.0,3,10,5,222.0,9,16.0,4.0,0.76,0,0,6,41,4,0,0
A. Garbisi,alessandro-garbisi,Six Nations,2026,4,109,0,1,0,4.0,5.0,1.18,1.0,,0,0,0,108.0,5,9.0,5.0,0.6,1,0,2,17,0,0,0
A. Garbisi,alessandro-garbisi,Six Nations,2025,3,51,0,1,0,2.0,5.0,2.7,5.0,1.0,0,0,0,57.0,3,6.0,4.0,0.5,0,1,0,6,0,0,0
A. Garbisi,alessandro-garbisi,Six Nations,2024,1,53,1,0,5,2.0,20.0,9.8,16.0,2.0,0,0,0,34.0,1,4.0,1.0,0.8,0,0,0,5,0,0,0
A. Griffin,archie-griffin,Six Nations,2026,5,165,0,0,0,15.0,14.0,0.94,15.0,1.0,0,0,0,1.0,0,35.0,4.0,0.9,1,0,0,0,2,1,0
A. Griffin,archie-griffin,Six Nations,2024,1,25,0,0,0,3.0,0.0,0.0,3.0,,0,0,0,,0,5.0,1.0,0.83,0,0,0,0,1,0,0
A. Hastings,adam-hastings,Six Nations,2026,1,5,0,0,0,,,,,,0,0,0,,0,,,,0,0,0,0,0,0,0
A. Jelonch,anthony-jelonch,Six Nations,2026,4,249,0,0,0,26.0,61.0,2.35,43.0,3.0,0,3,2,13.0,0,52.0,5.0,0.9,7,2,2,0,0,0,0
A. Jelonch,anthony-jelonch,Six Nations,2025,3,97,0,1,0,11.0,18.0,1.66,21.0,1.0,0,1,0,9.0,0,17.0,2.0,0.85,2,0,0,0,2,0,0
A. Mann,alex-mann,Six Nations,2026,5,351,0,0,0,44.0,42.0,0.95,58.0,8.0,0,1,1,46.0,3,87.0,4.0,0.89,6,3,1,1,6,0,0
A. Mann,alex-mann,Six Nations,2024,5,236,2,0,10,32.0,61.0,1.9,40.0,3.0,0,0,1,11.0,0,47.0,5.0,0.78,1,0,1,0,0,0,0
A. Mitchell,alex-mitchell,Six Nations,2026,3,159,0,0,0,11.0,43.0,3.88,30.0,4.0,1,0,1,166.0,2,6.0,4.0,0.6,0,0,2,21,1,0,0
A. Mitchell,alex-mitchell,Six Nations,2025,5,336,1,4,5,32.0,125.0,3.91,40.0,7.0,1,0,5,265.0,6,16.0,17.0,0.46,0,0,6,69,3,0,0
A. Mitchell,alex-mitchell,Six Nations,2024,4,262,1,2,5,19.0,59.0,3.12,29.0,8.0,1,3,4,188.0,6,8.0,6.0,0.53,0,1,4,45,0,0,0
A. Porter,andrew-porter,Six Nations,2025,5,345,0,0,0,32.0,17.0,0.53,41.0,2.0,0,2,1,17.0,0,52.0,11.0,0.81,0,1,2,0,3,0,0
A. Porter,andrew-porter,Six Nations,2024,5,318,1,0,5,37.0,18.0,0.47,41.0,,0,0,0,13.0,0,34.0,4.0,0.77,1,4,0,0,9,0,0
A. Roumat,alexandre-roumat,Six Nations,2025,3,113,0,0,0,15.0,12.0,0.77,18.0,1.0,0,0,4,11.0,2,9.0,2.0,0.82,0,0,4,0,1,0,0
A. Roumat,alexandre-roumat,Six Nations,2024,4,100,0,0,0,9.0,8.0,0.89,19.0,3.0,0,0,1,6.0,1,14.0,2.0,0.88,0,0,1,0,1,0,0
A. Zambonin,andrea-zambonin,Six Nations,2026,4,233,0,0,0,14.0,15.0,1.04,12.0,,0,0,1,10.0,0,45.0,4.0,0.88,5,1,3,0,0,0,0
A. Zambonin,andrea-zambonin,Six Nations,2024,4,54,0,0,0,2.0,9.0,4.35,4.0,,0,1,1,3.0,0,10.0,1.0,0.83,0,0,1,0,0,0,0
B. Aki,bundee-aki,Six Nations,2026,1,15,0,0,0,3.0,10.0,3.27,3.0,,0,0,0,,0,4.0,,1.0,2,0,0,0,0,0,0
B. Aki,bundee-aki,Six Nations,2025,5,222,1,0,5,26.0,68.0,2.62,60.0,7.0,1,1,1,25.0,1,30.0,7.0,0.79,0,1,2,0,3,0,0
B. Aki,bundee-aki,Six Nations,2024,4,320,0,1,0,50.0,161.0,3.22,178.0,12.0,4,1,1,22.0,1,36.0,5.0,0.86,3,2,2,0,3,0,0
B. Carter,ben-carter,Six Nations,2026,5,229,0,0,0,18.0,32.0,1.79,40.0,2.0,1,1,1,12.0,0,51.0,1.0,0.93,4,1,1,0,0,0,0
B. Curry,ben-curry,Six Nations,2025,5,225,0,1,0,15.0,58.0,3.89,30.0,4.0,1,0,1,13.0,1,48.0,5.0,0.8,7,6,1,1,2,0,0
B. Earl,ben-earl,Six Nations,2026,5,369,2,0,10,95.0,288.0,3.03,212.0,13.0,4,1,3,15.0,0,47.0,10.0,0.77,6,3,4,0,2,0,0
B. Earl,ben-earl,Six Nations,2025,5,366,1,0,5,63.0,280.0,4.44,171.0,12.0,3,0,2,19.0,2,48.0,10.0,0.8,2,5,3,0,4,0,0
B. Earl,ben-earl,Six Nations,2024,5,400,2,1,10,73.0,251.0,3.44,214.0,24.0,2,1,2,30.0,2,63.0,7.0,0.84,1,2,3,0,2,0,0
B. Kinghorn,blair-kinghorn,Six Nations,2026,3,240,0,3,0,32.0,190.0,5.94,97.0,10.0,3,8,1,32.0,3,5.0,,1.0,0,1,3,3,1,0,0
B. Kinghorn,blair-kinghorn,Six Nations,2025,5,400,2,1,18,86.0,575.0,6.68,210.0,25.0,9,13,6,57.0,9,7.0,4.0,0.44,0,0,12,11,3,0,0
B. Kinghorn,blair-kinghorn,Six Nations,2024,3,226,0,1,0,38.0,212.0,5.58,105.0,6.0,1,5,4,21.0,3,7.0,5.0,0.54,1,0,5,9,1,0,0
B. Muncaster,ben-muncaster,Six Nations,2025,1,14,0,0,0,3.0,2.0,0.77,2.0,,0,0,0,1.0,0,3.0,,1.0,1,0,0,1,0,0,0
B. Murray,blair-murray-1,Six Nations,2026,2,28,0,0,0,2.0,3.0,1.45,4.0,1.0,0,0,0,1.0,0,1.0,1.0,0.33,0,0,0,0,0,0,0
B. Murray,blair-murray-1,Six Nations,2025,5,339,1,1,5,42.0,301.0,7.17,218.0,25.0,5,5,2,27.0,2,15.0,1.0,0.68,1,0,3,16,2,0,0
B. Rodd,bevan-rodd,Six Nations,2026,5,127,0,0,0,8.0,34.0,4.19,29.0,1.0,1,2,0,9.0,0,35.0,2.0,0.95,1,0,0,0,3,0,0
B. Serin,baptiste-serin,Six Nations,2026,4,42,0,2,0,6.0,60.0,9.97,61.0,5.0,3,0,1,63.0,2,3.0,,1.0,0,0,1,4,0,0,0
B. Spencer,ben-spencer,Six Nations,2026,4,134,0,0,0,3.0,10.0,3.23,4.0,,0,0,0,118.0,1,7.0,4.0,0.58,0,0,2,26,1,0,0
B. Spencer,ben-spencer,Six Nations,2024,1,33,0,1,0,1.0,3.0,2.9,2.0,,0,0,0,31.0,1,1.0,,1.0,0,0,1,7,1,0,0
B. Thomas,ben-thomas,Six Nations,2026,1,70,0,0,0,6.0,7.0,1.15,3.0,1.0,0,0,1,5.0,1,5.0,2.0,0.56,0,0,2,1,2,1,0
B. Thomas,ben-thomas,Six Nations,2025,5,368,3,1,18,44.0,117.0,2.66,104.0,7.0,4,1,4,103.0,4,44.0,6.0,0.81,0,1,5,17,3,0,0
B. White,ben-white,Six Nations,2026,5,302,2,2,10,20.0,33.0,1.65,18.0,3.0,1,4,2,366.0,10,28.0,3.0,0.82,2,0,3,55,0,0,0
B. White,ben-white,Six Nations,2025,5,322,3,1,15,14.0,60.0,4.32,16.0,4.0,0,3,3,412.0,8,26.0,6.0,0.74,1,0,5,56,1,0,0
B. White,ben-white,Six Nations,2024,4,274,1,0,5,9.0,25.0,2.79,11.0,,0,1,2,201.0,6,30.0,7.0,0.73,2,0,2,48,0,0,0
C. Baille,cyril-baille,Six Nations,2025,5,152,0,0,0,16.0,29.0,1.81,26.0,,0,1,0,12.0,1,29.0,,0.97,1,1,0,0,1,0,0
C. Baille,cyril-baille,Six Nations,2024,5,267,0,0,0,41.0,20.0,0.48,49.0,7.0,0,0,1,13.0,1,35.0,3.0,0.9,0,0,1,0,3,0,0
C. Casey,craig-casey,Six Nations,2026,4,64,0,0,0,2.0,6.0,2.75,7.0,4.0,0,0,0,67.0,3,4.0,1.0,0.5,2,0,0,10,1,1,0
C. Casey,craig-casey,Six Nations,2024,1,72,0,1,0,5.0,15.0,2.98,7.0,1.0,0,0,0,94.0,3,3.0,,0.6,0,0,1,8,0,0,0
C. Cunningham-South,chandler-cunningham-south,Six Nations,2026,2,9,0,0,0,2.0,21.0,10.5,6.0,,0,0,0,,0,4.0,2.0,0.67,0,0,0,0,0,0,0
C. Cunningham-South,chandler-cunningham-south,Six Nations,2025,4,145,2,0,10,15.0,76.0,5.03,45.0,3.0,0,0,1,4.0,0,24.0,5.0,0.75,5,1,1,0,4,0,0
C. Cunningham-South,chandler-cunningham-south,Six Nations,2024,4,72,0,0,0,7.0,43.0,6.14,31.0,1.0,1,1,0,2.0,0,24.0,1.0,0.86,2,0,1,0,0,0,0
C. Cunningham-South,chandler-cunningham-south,U20 Six Nations,2023,3,227,2,0,10,27.0,82.0,3.03,70.0,2.0,0,2,2,10.0,0,38.0,6.0,0.78,3,0,3,1,2,0,0
C. Doris,caelan-doris,Six Nations,2026,5,400,0,2,0,62.0,186.0,3.0,143.0,15.0,2,3,6,37.0,2,83.0,4.0,0.86,1,3,7,1,7,0,0
C. Doris,caelan-doris,Six Nations,2025,4,309,1,0,5,46.0,152.0,3.32,58.0,2.0,0,3,5,27.0,1,51.0,7.0,0.78,2,4,5,0,3,0,0
C. Doris,caelan-doris,Six Nations,2024,5,400,0,1,0,56.0,141.0,2.51,115.0,6.0,1,2,4,33.0,4,56.0,10.0,0.85,3,1,5,0,2,0,0
C. Frawley,ciaran-frawley,Six Nations,2026,3,51,0,1,0,6.0,41.0,6.8,18.0,1.0,0,2,0,6.0,0,1.0,,0.5,0,1,0,2,0,0,0
C. Frawley,ciaran-frawley,Six Nations,2024,3,125,1,1,5,11.0,34.0,3.06,39.0,6.0,1,0,0,21.0,1,6.0,2.0,0.67,0,1,0,5,0,0,0
C. Healy,cian-healy,Six Nations,2025,3,29,1,0,5,7.0,13.0,1.84,10.0,2.0,0,1,0,3.0,0,4.0,4.0,0.5,0,0,0,0,0,0,0
C. Healy,cian-healy,Six Nations,2024,4,58,0,0,0,5.0,8.0,1.58,14.0,1.0,0,0,0,3.0,0,21.0,1.0,0.88,0,0,0,1,0,0,0
C. Izuchukwu,cormac-izuchukwu,Six Nations,2026,1,59,0,0,0,7.0,23.0,3.24,9.0,,1,1,0,4.0,0,6.0,,1.0,1,1,1,0,1,0,0
C. Murley,cadan-murley,Six Nations,2026,2,160,1,0,5,11.0,64.0,5.85,55.0,3.0,0,0,1,3.0,0,12.0,2.0,0.71,2,0,1,2,1,0,0
C. Murley,cadan-murley,Six Nations,2025,1,80,1,1,5,9.0,57.0,6.29,38.0,3.0,3,1,0,4.0,0,9.0,1.0,0.9,1,1,1,0,0,0,0
C. Murray,conor-murray,Six Nations,2025,5,43,0,1,0,3.0,4.0,1.17,2.0,1.0,0,0,1,63.0,0,4.0,4.0,0.5,0,0,2,2,0,0,0
C. Murray,conor-murray,Six Nations,2024,4,59,0,1,0,4.0,8.0,1.95,5.0,2.0,0,1,0,51.0,2,6.0,1.0,0.86,0,1,0,7,0,0,0
C. Nash,calvin-nash,Six Nations,2025,2,134,1,0,5,14.0,50.0,3.59,12.0,2.0,2,2,0,4.0,1,5.0,4.0,0.5,0,0,2,1,2,1,0
C. Nash,calvin-nash,Six Nations,2024,5,287,2,1,10,36.0,196.0,5.44,102.0,10.0,2,2,2,14.0,1,9.0,3.0,0.6,3,0,3,3,0,0,0
C. Ollivon,charles-ollivon,Six Nations,2026,5,277,2,1,10,26.0,92.0,3.55,38.0,1.0,0,3,2,16.0,1,52.0,9.0,0.78,4,0,3,0,1,0,0
C. Ollivon,charles-ollivon,Six Nations,2024,5,331,1,1,5,35.0,110.0,3.15,80.0,2.0,0,2,2,20.0,1,49.0,4.0,0.86,3,0,3,0,2,0,0
C. Prendergast,cian-prendergast,Six Nations,2026,2,67,0,0,0,2.0,0.0,0.2,2.0,,0,0,0,7.0,0,13.0,3.0,0.72,1,2,1,0,0,0,0
C. Woki,cameron-woki,Six Nations,2024,3,114,0,1,0,7.0,5.0,0.67,9.0,1.0,0,1,2,5.0,0,15.0,1.0,0.88,2,0,2,0,1,0,0
D. Bamba,demba-bamba,Six Nations,2026,2,55,0,0,0,7.0,11.0,1.53,24.0,2.0,0,0,0,1.0,1,8.0,3.0,0.67,1,0,0,0,3,1,0
D. Cherry,david-cherry,Six Nations,2026,2,85,0,0,0,8.0,10.0,1.19,8.0,,0,0,1,3.0,0,17.0,3.0,0.85,1,0,2,0,2,0,0
D. Cherry,david-cherry,Six Nations,2025,5,265,0,1,0,26.0,60.0,2.32,32.0,,0,1,0,11.0,0,35.0,1.0,0.92,1,3,2,0,3,0,0
D. Edwards,daniel-edwards,Six Nations,2026,4,282,1,1,27,10.0,37.0,3.7,30.0,5.0,1,0,1,64.0,1,18.0,9.0,0.62,0,1,4,27,0,0,0
D. Edwards,daniel-edwards,Six Nations,2025,2,86,0,0,0,9.0,41.0,4.53,18.0,3.0,0,0,0,31.0,1,7.0,1.0,0.88,0,0,0,9,1,0,0
D. Edwards,daniel-edwards,U20 Six Nations,2023,5,367,1,2,40,15.0,106.0,7.1,52.0,3.0,3,2,3,89.0,5,27.0,10.0,0.61,0,0,7,28,2,1,0
D. Fischetti,danilo-fischetti,Six Nations,2026,5,276,0,0,0,26.0,39.0,1.5,44.0,1.0,0,1,2,8.0,0,48.0,4.0,0.89,7,2,3,0,5,0,0
D. Fischetti,danilo-fischetti,Six Nations,2025,5,266,0,0,0,21.0,23.0,1.1,38.0,4.0,1,1,1,3.0,0,53.0,5.0,0.83,6,1,1,1,4,0,0
D. Fischetti,danilo-fischetti,Six Nations,2024,5,295,0,0,0,20.0,15.0,0.77,30.0,5.0,0,1,2,8.0,0,49.0,8.0,0.79,3,2,2,0,4,0,0
D. Graham,darcy-graham,Six Nations,2026,5,210,4,0,20,24.0,116.0,4.82,125.0,16.0,7,2,6,7.0,0,12.0,4.0,0.71,2,1,6,1,2,0,0
D. Graham,darcy-graham,Six Nations,2025,4,239,2,2,10,33.0,220.0,6.68,144.0,17.0,4,0,4,9.0,0,15.0,4.0,0.71,2,0,4,3,0,0,0
D. Lamb,dino-lamb,Six Nations,2025,3,89,0,0,0,2.0,0.0,0.0,6.0,1.0,0,0,0,2.0,0,17.0,2.0,0.81,3,0,0,0,3,1,0
D. Odiase,david-odiase,Six Nations,2026,3,39,0,0,0,12.0,31.0,2.58,13.0,,0,1,0,4.0,0,6.0,1.0,0.86,0,1,0,0,0,0,0
D. Odiase,david-odiase,U20 Six Nations,2023,5,400,0,0,0,62.0,181.0,2.92,159.0,8.0,0,1,2,7.0,0,71.0,5.0,0.91,12,4,3,3,2,0,0
D. Penaud,damian-penaud,Six Nations,2025,3,232,2,2,10,22.0,204.0,9.29,100.0,9.0,4,1,3,21.0,3,13.0,13.0,0.46,3,1,3,10,1,0,0
D. Penaud,damian-penaud,Six Nations,2024,5,400,1,3,5,42.0,294.0,7.01,247.0,27.0,11,11,9,36.0,5,17.0,4.0,0.63,2,2,12,8,1,0,0
D. Rae,darcy-rae,Six Nations,2026,2,50,0,0,0,5.0,0.0,0.06,2.0,,0,0,0,2.0,0,2.0,,1.0,0,0,0,0,1,0,0
D. Sheehan,dan-sheehan,Six Nations,2026,4,235,2,0,10,24.0,68.0,2.83,50.0,6.0,1,0,0,7.0,1,33.0,7.0,0.8,1,0,0,0,2,0,0
D. Sheehan,dan-sheehan,Six Nations,2025,5,284,5,0,25,36.0,80.0,2.23,64.0,6.0,1,0,6,18.0,3,39.0,2.0,0.89,4,0,7,0,1,0,0
D. Sheehan,dan-sheehan,Six Nations,2024,5,289,5,1,25,42.0,143.0,3.4,89.0,8.0,6,0,2,10.0,3,35.0,6.0,0.83,0,1,5,0,2,0,0
D. van der Merwe,duhan-van-der-merwe,Six Nations,2026,1,55,0,0,0,5.0,29.0,5.86,17.0,1.0,1,0,1,1.0,1,1.0,,1.0,0,1,1,0,0,0,0
D. van der Merwe,duhan-van-der-merwe,Six Nations,2025,5,390,2,1,10,53.0,279.0,5.26,194.0,28.0,6,7,2,21.0,2,18.0,2.0,0.82,1,2,4,0,1,1,0
D. van der Merwe,duhan-van-der-merwe,Six Nations,2024,5,398,5,0,25,41.0,279.0,6.8,162.0,15.0,6,3,5,13.0,2,17.0,6.0,0.61,1,1,6,2,5,1,0
E. Ashman,ewan-ashman,Six Nations,2026,3,143,0,0,0,26.0,47.0,1.79,32.0,,0,2,0,4.0,0,25.0,3.0,0.81,1,0,1,0,2,0,0
E. Ashman,ewan-ashman,Six Nations,2025,5,135,0,0,0,21.0,53.0,2.54,48.0,3.0,0,5,0,10.0,2,26.0,2.0,0.81,5,0,0,0,2,0,0
E. Ashman,ewan-ashman,Six Nations,2024,5,111,0,0,0,15.0,16.0,1.08,26.0,2.0,0,1,1,8.0,0,23.0,,0.96,3,2,1,0,3,1,0
E. Daly,elliot-daly,Six Nations,2026,2,127,0,1,0,12.0,67.0,5.61,27.0,4.0,0,0,2,5.0,0,1.0,3.0,0.2,0,0,3,9,1,0,0
E. Daly,elliot-daly,Six Nations,2025,4,199,1,1,5,22.0,126.0,5.73,55.0,7.0,2,2,1,15.0,1,14.0,1.0,0.93,4,0,4,5,2,0,0
E. Daly,elliot-daly,Six Nations,2024,5,329,1,2,5,20.0,71.0,3.55,44.0,6.0,4,0,1,17.0,3,12.0,5.0,0.63,2,0,4,10,1,1,0
E. Dee,elliott-dee,Six Nations,2025,5,234,0,0,0,24.0,29.0,1.21,23.0,,0,1,1,26.0,2,43.0,4.0,0.84,4,0,1,0,5,0,0
E. Dee,elliott-dee,Six Nations,2024,5,298,1,0,5,42.0,44.0,1.05,39.0,,0,1,0,25.0,0,46.0,,0.98,0,2,2,0,2,0,0
